*Step  = 0
*Time  = 0
*Data  = nc_top_nucleus_nodes
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
*Step  = 1
*Time  = 0.1
*Data  = nc_top_nucleus_nodes
13,1.97351356526e-15,-0.72,0,0
14,4.61117500271e-15,-0.72,0,0
15,4.47590098203e-15,-0.72,0,0
16,3.36652337767e-15,-0.72,0,0
17,1.93251434484e-14,-0.72,0,0
18,1.93350829466e-14,-0.72,0,0
*Step  = 2
*Time  = 0.2
*Data  = nc_top_nucleus_nodes
13,2.21778656185e-15,-0.72,0,0
14,4.611189603e-15,-0.72,0,0
15,4.48282058548e-15,-0.72,0,0
16,3.08433388637e-15,-0.72,0,0
17,1.90016242703e-14,-0.72,0,0
18,1.92720666364e-14,-0.72,0,0
*Step  = 3
*Time  = 0.3
*Data  = nc_top_nucleus_nodes
13,2.43378673764e-15,-0.72,0,0
14,4.62824690927e-15,-0.72,0,0
15,4.47797814695e-15,-0.72,0,0
16,2.82259649619e-15,-0.72,0,0
17,1.88300277523e-14,-0.72,0,0
18,1.90405186504e-14,-0.72,0,0
*Step  = 4
*Time  = 0.4
*Data  = nc_top_nucleus_nodes
13,2.79792629393e-15,-0.72,0,0
14,4.64354063113e-15,-0.72,0,0
15,4.46561058042e-15,-0.72,0,0
16,2.42969821104e-15,-0.72,0,0
17,1.84517724323e-14,-0.72,0,0
18,1.89927986701e-14,-0.72,0,0
*Step  = 5
*Time  = 0.5
*Data  = nc_top_nucleus_nodes
13,1.02143488114e-15,-0.72,0,0
14,4.66241762784e-15,-0.72,0,0
15,4.48384066084e-15,-0.72,0,0
16,4.13863323244e-15,-0.72,0,0
17,1.98539409472e-14,-0.72,0,0
18,1.89055952026e-14,-0.72,0,0
*Step  = 6
*Time  = 0.6
*Data  = nc_top_nucleus_nodes
13,1.39942660021e-15,-0.72,0,0
14,4.64461776536e-15,-0.72,0,0
15,4.43724120998e-15,-0.72,0,0
16,3.71289638229e-15,-0.72,0,0
17,1.97923684768e-14,-0.72,0,0
18,1.86147632474e-14,-0.72,0,0
*Step  = 7
*Time  = 0.7
*Data  = nc_top_nucleus_nodes
13,1.57533902581e-15,-0.72,0,0
14,4.59843490142e-15,-0.72,0,0
15,4.49817070805e-15,-0.72,0,0
16,3.50376578441e-15,-0.72,0,0
17,1.94123322637e-14,-0.72,0,0
18,2.03747316473e-14,-0.72,0,0
*Step  = 8
*Time  = 0.8
*Data  = nc_top_nucleus_nodes
13,1.79954328094e-15,-0.72,0,0
14,4.62232423892e-15,-0.72,0,0
15,4.48715307825e-15,-0.72,0,0
16,3.24283863695e-15,-0.72,0,0
17,1.90321547096e-14,-0.72,0,0
18,2.03362458535e-14,-0.72,0,0
*Step  = 9
*Time  = 0.9
*Data  = nc_top_nucleus_nodes
13,2.08459518856e-15,-0.72,0,0
14,4.65099124114e-15,-0.72,0,0
15,4.46147086628e-15,-0.72,0,0
16,2.93134297573e-15,-0.72,0,0
