*Step  = 0
*Time  = 0
*Data  = nc_bottom_nucleus_nodes
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
9,0,0,0,0
10,0,0,0,0
*Step  = 1
*Time  = 0.1
*Data  = nc_bottom_nucleus_nodes
1,9.76460961528e-15,-0.72,0,0
2,8.47118878319e-15,-0.72,0,0
3,8.54654675362e-15,-0.72,0,0
4,1.04185852899e-14,-0.72,0,0
9,8.20623498539e-15,-0.72,0,0
10,7.38437623227e-15,-0.72,0,0
*Step  = 2
*Time  = 0.2
*Data  = nc_bottom_nucleus_nodes
1,1.35465750013e-14,-0.72,0,0
2,1.25218742009e-14,-0.72,0,0
3,1.27205613191e-14,-0.72,0,0
4,1.33455047214e-14,-0.72,0,0
9,1.30379535004e-14,-0.72,0,0
10,1.32869393898e-14,-0.72,0,0
*Step  = 3
*Time  = 0.3
*Data  = nc_bottom_nucleus_nodes
1,1.36104578498e-14,-0.72,0,0
2,1.4220990211e-14,-0.72,0,0
3,1.42451527835e-14,-0.72,0,0
4,1.46556280887e-14,-0.72,0,0
9,1.55049872705e-14,-0.72,0,0
10,1.58299104884e-14,-0.72,0,0
*Step  = 4
*Time  = 0.4
*Data  = nc_bottom_nucleus_nodes
1,1.47518203622e-14,-0.72,0,0
2,1.29595347697e-14,-0.72,0,0
3,1.32351723442e-14,-0.72,0,0
4,1.62610784288e-14,-0.72,0,0
9,1.38241255248e-14,-0.72,0,0
10,1.30086053292e-14,-0.72,0,0
*Step  = 5
*Time  = 0.5
*Data  = nc_bottom_nucleus_nodes
1,1.39033872935e-14,-0.72,0,0
2,1.47451963046e-14,-0.72,0,0
3,1.40322529303e-14,-0.72,0,0
4,1.64312076888e-14,-0.72,0,0
9,1.41681193019e-14,-0.72,0,0
10,1.57958216498e-14,-0.72,0,0
*Step  = 6
*Time  = 0.6
*Data  = nc_bottom_nucleus_nodes
1,1.45674337925e-14,-0.72,0,0
2,1.32230338571e-14,-0.72,0,0
3,1.33640558233e-14,-0.72,0,0
4,1.63313221745e-14,-0.72,0,0
9,1.41016446982e-14,-0.72,0,0
