*Step  = 0
*Time  = 0
*Data  = cytoplasm_nodes
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
*Step  = 1
*Time  = 0.1
*Data  = cytoplasm_nodes
19,1.63162596894e-15,0,0,0
20,2.54843269525e-15,0,0,0
21,1.62103434337e-15,0,0,0
22,1.1649426073e-15,0,0,0
23,2.20717677109e-15,0,0,0
24,-9.47200071969e-18,0,0,0
25,-3.36882151293e-16,0,0,0
26,3.18293009678e-15,0,0,0
27,1.9576402067e-15,0,0,0
28,1.91735093271e-15,0,0,0
29,2.67101688958e-15,0,0,0
30,2.68472703846e-15,0,0,0
31,1.72674005515e-15,0,0,0
32,3.03298616939e-15,0,0,0
33,4.33821130449e-15,0,0,0
34,4.26870970923e-15,0,0,0
35,2.52739053592e-15,0,0,0
36,1.30024283634e-15,0,0,0
37,1.85582692412e-15,0,0,0
38,1.69248679034e-15,0,0,0
39,5.63232264018e-15,3.09621991655e-16,0,0
40,1.35713506664e-15,-2.89666164294e-15,0,0
41,-1.30487256937e-16,-1.14668454133e-15,0,0
42,5.52839356245e-15,1.45965410439e-15,0,0
43,6.28172260894e-15,-1.22500243282e-15,0,0
44,3.19990504246e-15,-2.4639887622e-15,0,0
45,2.83341384569e-15,-1.56256402626e-15,0,0
46,7.27880432359e-15,2.09825453821e-17,0,0
47,6.26903552812e-15,-1.6910681922e-15,0,0
48,4.94267865067e-15,-6.49484494271e-15,0,0
49,4.3768372244e-15,-7.10082757595e-15,0,0
50,7.47435935562e-15,-4.46442155999e-15,0,0
51,6.60188351886e-15,-5.57147035913e-15,0,0
52,4.53009400542e-15,-5.35563483765e-15,0,0
53,3.54117932739e-15,-7.69888660319e-15,0,0
54,7.25694035848e-15,-7.37505902412e-15,0,0
55,1.36493903233e-14,-4.10865802817e-15,0,0
56,3.25333227808e-15,-4.4516871794e-15,0,0
57,4.23380336845e-15,-4.25358383988e-15,0,0
58,1.20697922499e-14,-1.00698287096e-15,0,0
59,5.92499293891e-15,-4.64423111937e-15,0,0
60,5.91848720011e-15,-6.00827941294e-15,0,0
61,7.16805718439e-15,-4.50940072033e-15,0,0
62,6.81757643824e-15,-3.94021606255e-15,0,0
63,8.10249070555e-15,-4.65279333097e-15,0,0
